filename,items,results,details
signalment_physical,age,,
signalment_physical,breed,,
signalment_physical,gender,,
signalment_physical,neuter_status,,
signalment_physical,vomit_nausea,,
signalment_physical,lethargy_weakness,,
signalment_physical,appetite_loss,,
signalment_physical,diarrhea_melena,,
signalment_physical,abdominal_pain,,
signalment_physical,weight_loss,,
signalment_physical,duration,,
signalment_physical,bw,,
signalment_physical,temp,,
signalment_physical,hr,,
signalment_physical,rr,,
signalment_physical,bcs,,
signalment_physical,hydration_status,,
cbc,wbc,,
cbc,red_blood_cell_count,,
cbc,hemoglobin,,
cbc,packed_cell_volume,,
cbc,mean_corpuscular_volume,,
cbc,mean_corpuscular_hemoglobin_concentration,,
cbc,plasma_protein,,
cbc,platelet_count,,
cbc,absolute_neutrophil,,
cbc,absolute_bands,,
cbc,absolute_lymphocyte,,
cbc,absolute_monocyte,,
cbc,absolute_eosinophil,,
cbc,absolute_basophil,,
cbc,absolute_other,,
chem,glucose,,
chem,lactic_acid,,
chem,blood_urea_nitrogen,,
chem,creatinine,,
chem,sodium,,
chem,potassium,,
chem,enzymatic_carbon_dioxide,,
chem,chloride,,
chem,anion_gap_calculated,,
chem,calcium,,
chem,phosphorus,,
chem,magnesium,,
chem,total_protein,,
chem,albumin,,
chem,globulin,,
chem,total_bilirubin,,
chem,gamma_glutamyltransferase,,
chem,alanine_aminotransferase,,
chem,alkaline_phosphatase,,
chem,cholesterol,,
cpli,spec_cpli,,
aus,size,,
aus,echogenecity_of_pancreatic_parenchyma,,
aus,echogenecity_of_peripancreatic_mesentery,,
aus,pancreatic_echotexture,,
aus,free_fluid_effusion ,,
aus,conclusions,,
